"GeneIds","Gene","Donor01_ntCtrl_O2","Donor01_ntCtrl_RA","Donor02_ntCtrl_O2","Donor02_ntCtrl_RA","Donor03_ntCtrl_O2","Donor03_ntCtrl_RA","Donor04_ntCtrl_O2","Donor04_ntCtrl_RA","Donor05_ntCtrl_O2","Donor05_ntCtrl_RA"
"ENSG00000000003.16","TSPAN6",1577.54445490113,2019.61254198123,1436.02467791477,1674.80315492052,2147.31341859851,2129.51872316085,1869.62403610039,1769.23733643091,2147.57598747588,1440.94970082529
"ENSG00000000419.14","DPM1",1226.75019186611,1221.13450643548,1284.56895016595,1218.66222740292,1224.32455690258,1018.51278736768,1338.06426113067,1150.39148735699,1275.00347144612,1433.7232730378
"ENSG00000000457.14","SCYL3",462.691454570654,677.392668209767,493.633483033202,559.029858536611,596.739585389531,588.691685861021,564.824690644706,591.388524712284,599.174978064359,413.351669444367
"ENSG00000000460.17","C1orf112",75.5134421406113,69.6812019574971,71.0533043759913,110.891403431598,92.5361583705436,93.5813031128426,70.6030863305883,76.0356674630079,79.2086324946487,101.169989024845
"ENSG00000000971.17","CFH",164.070115196419,216.468651982716,110.319604162723,134.898820669366,174.395067698332,149.077192168133,126.949780229039,105.605093698622,194.188905470752,128.630414617303
"ENSG00000001036.14","FUCA2",1379.83653366026,1756.30898376478,1585.61058186423,1435.87219288749,1275.33808010685,1154.53212328751,1433.78575317502,1351.04116538437,1742.58991488227,1381.69299296788
"ENSG00000001084.13","GCLC",5329.18955761423,5408.28935520934,5039.17513929728,3258.14948226859,5308.96549625875,3575.67630266047,5505.68298212568,3944.70226662253,6827.27309760327,4720.30263078777
"ENSG00000001167.15","NFYA",1441.62025904803,1477.58417593479,1557.5632248737,1539.90433425115,1475.83308990969,1371.07490607188,1496.24232954439,1601.6772544291,1227.73380366706,1319.54571399548
"ENSG00000001460.18","STPG1",419.442846799213,446.0739240066,366.485464676166,442.422403381735,309.640222239896,227.424329657955,352.33655582284,328.78385838171,390.93292811875,432.140381691838
"ENSG00000001461.17","NIPAL3",4335.84455054637,4472.16238792789,4523.10377067166,4489.38702346272,4976.78441492859,4417.90803067606,5361.7613061441,5562.57230208542,4416.52004087098,4770.88762530019
"ENSG00000001497.18","LAS1L",800.442486690479,781.343313752918,837.68106211695,789.958348157051,867.229894472658,840.055418640866,788.174838748202,840.616545841032,870.017398852512,851.273193366196
"ENSG00000001561.7","ENPP4",299.994311049519,456.354757082296,91.6213661690414,98.3160896403855,300.149334201891,235.041412469465,203.662749030543,156.999572631951,416.484099891217,195.113550262201
"ENSG00000001617.12","SEMA3F",4377.72018664253,4960.50195902346,3345.11477706969,3491.36439257834,4849.84378742028,5787.89478206058,5047.44179680696,5019.7621204745,4401.1893378075,4214.45268566355
"ENSG00000001626.18","CFTR",86.497215542882,129.081570839298,7.47929519747276,2.28642068931129,66.4362162660313,34.8209499954763,63.8143280295702,52.802546849311,162.249940755168,54.9208511849159
"ENSG00000001629.10","ANKIB1",1409.35542467886,1460.44945414197,1321.96542615331,1579.9166963141,1408.21051263891,1386.3090716949,1375.40243178627,1467.20676845286,1272.44835426887,1764.6936657048
"ENSG00000001630.18","CYP51A1",283.518650946113,211.328235444868,489.893835434466,435.563141313801,145.922403584319,157.782429667002,241.000919686143,264.012734246555,194.188905470752,369.993102719433
"ENSG00000001631.17","KRIT1",200.453864591441,165.064486604235,125.278194557669,168.05192066438,228.967673916858,173.016595290023,150.710434282602,103.49299182465,159.694823577921,208.121120279681
"ENSG00000002016.18","RAD52",306.172683588297,273.58439129214,263.645155710915,266.368010304765,302.522056211392,247.01111403041,216.561389802478,204.873881775327,293.838475383374,254.37025811961
"ENSG00000002079.14","MYH16",17.162145941048,16.5635643997329,24.3077093917865,60.5901482667492,0,3.2644640620759,7.46763413111991,14.0806791598163,8.94291012036356,39.0227100524402
"ENSG00000002330.14","BAD",851.928924513623,956.117476039755,768.497581540327,674.494103346831,691.648465769576,940.16564987786,837.053898515532,1051.12269928028,834.245758371058,754.439061013845
"ENSG00000002549.13","LAP3",1400.43110878952,2152.69221457218,1280.82930256721,1346.70178600435,1352.45154541564,1269.87652014753,1333.99100615006,1520.71334926016,1765.58596947749,1488.64412422272
"ENSG00000002587.10","HS3ST1",1338.64738340175,1306.23695800652,1037.75220864935,840.2596033219,1358.38335043939,1029.39433424127,1708.73046436626,1324.99190893871,1368.26524841563,1066.62074143337
