ENSEMBL,Gene,TA003_ntCtrl_O2,TA003_ntCtrl_RA,TA012_ntCtrl_O2,TA012_ntCtrl_RA,TA020_ntCtrl_O2,TA020_ntCtrl_RA,TA034_ntCtrl_O2,TA034_ntCtrl_RA,TA039_ntCtrl_O2,TA039_ntCtrl_RA
ENSG00000277363.5,SRCIN1,73.45398463,74.8216185,0,0,5.931805024,8.705237499,26.47615737,11.26454333,71.54328096,14.45285557
ENSG00000273604.2,EPOP,83.06478635,79.39087764,20.56806179,45.72841379,53.38624521,66.37743593,35.980419,43.6501054,80.48619108,98.27941791
ENSG00000277969.2,lncRNA*10633,32.26483437,27.41555487,11.2189428,24.00741724,47.45444019,72.90636405,36.65929483,53.50658081,61.32281225,21.67928336
ENSG00000275023.5,MLLT6,2660.819107,3277.872279,3806.961256,3503.939706,3719.24175,4020.73157,3192.074153,3059.027547,2574.280556,2072.539489
ENSG00000277972.2,CISD3,337.7510321,391.2428143,428.1896501,355.5384172,307.2675002,317.7411687,318.3927643,408.3396956,313.0018542,377.2195305
ENSG00000277258.5,PCGF2,873.2099855,729.9391484,856.3793001,967.1559516,686.9030218,837.8791093,808.5411137,793.4462707,619.6159155,906.1940446
ENSG00000277791.5,PSMB3,1543.220163,1417.61265,1501.468511,1367.279572,1513.796642,1724.725179,1639.48513,1969.887014,1548.401009,1456.847842
ENSG00000276293.5,PIP4K2B,1146.431349,1038.364141,1118.154632,1249.528907,1154.329258,1034.835108,991.8375878,1030.705714,1092.312593,1079.628311
ENSG00000273559.5,CWC25,695.4101535,756.2123885,729.2312818,751.0891964,835.1981473,912.9617827,739.295779,727.2670786,701.3796652,773.2277733
ENSG00000125691.14,RPL23,12529.05302,14005.92159,13975.06308,12020.85677,14936.28505,16959.97896,13726.19041,12894.38194,14178.34522,9582.243246
ENSG00000002834.19,LASP1,8898.229428,7834.565961,10644.90689,10139.13255,8627.217227,8724.824283,10234.73201,9649.489428,7873.593582,10002.82134
ENSG00000263874.2,LASP1NB,70.70804128,32.55597141,93.49118997,107.4617724,59.31805024,70.73005468,58.38332139,37.31379977,45.99210919,53.47556563
ENSG00000067191.17,CACNB1,61.09723955,54.25995234,71.05330438,61.73335861,65.24985526,112.0799328,100.4736229,104.1970258,54.93501931,140.1926991
ENSG00000108298.12,RPL19,15583.915,17626.48831,16809.71596,15080.08766,18771.79018,23504.14125,17326.94781,17660.69184,17181.88546,14841.63739
ENSG00000108306.13,FBXL20,686.4858376,693.9562326,633.870268,763.6645102,740.289267,571.2812109,747.4422889,618.1418151,608.1178882,669.1672131
ENSG00000266469.2,lncRNA*10642,16.4756601,31.41365662,22.43788559,16.00494483,28.47266411,21.76309375,17.65077158,12.67261124,22.9960546,17.34342669
ENSG00000125686.12,MED1,1287.160946,1381.629734,1574.391639,1855.430389,1748.696121,1262.259437,1663.92466,1648.143496,1415.534916,1436.613844
